Country Name,Country Code,Year,GDP pc
China,CHN,1990-01-01,981.419207420534
"Congo, Dem. Rep.",COD,1990-01-01,848.096959017952
United Kingdom,GBR,1990-01-01,17091.3051155726
India,IND,1990-01-01,1204.24205850931
Nigeria,NGA,1990-01-01,2056.82879123112
United States,USA,1990-01-01,23888.6000088133
China,CHN,1991-01-01,1093.56622897686
"Congo, Dem. Rep.",COD,1991-01-01,776.88169993853
United Kingdom,GBR,1991-01-01,17420.4212113977
India,IND,1991-01-01,1231.95543894039
Nigeria,NGA,1991-01-01,2080.02280237594
United States,USA,1991-01-01,24342.2589048189
China,CHN,1992-01-01,1262.02548339564
"Congo, Dem. Rep.",COD,1992-01-01,690.051404955549
United Kingdom,GBR,1992-01-01,17840.5510277811
India,IND,1992-01-01,1301.82412428053
Nigeria,NGA,1992-01-01,2170.47583023989
United States,USA,1992-01-01,25418.9907763319
China,CHN,1993-01-01,1454.4915919855
"Congo, Dem. Rep.",COD,1993-01-01,591.979827617372
United Kingdom,GBR,1993-01-01,18673.348462135
India,IND,1993-01-01,1367.69753564023
Nigeria,NGA,1993-01-01,2121.7780706721
United States,USA,1993-01-01,26387.2937338171
China,CHN,1994-01-01,1660.34687963985
"Congo, Dem. Rep.",COD,1994-01-01,554.010830308425
United Kingdom,GBR,1994-01-01,19755.2550837302
India,IND,1994-01-01,1460.11543356074
Nigeria,NGA,1994-01-01,2073.66925014378
United States,USA,1994-01-01,27694.853416234
China,CHN,1995-01-01,1860.52506258639
"Congo, Dem. Rep.",COD,1995-01-01,546.246191021379
United Kingdom,GBR,1995-01-01,20595.7082090064
India,IND,1995-01-01,1572.02144659555
Nigeria,NGA,1995-01-01,2062.19922115299
United States,USA,1995-01-01,28690.8757013347
China,CHN,1996-01-01,2060.86809986211
"Congo, Dem. Rep.",COD,1996-01-01,540.162442554952
United Kingdom,GBR,1996-01-01,21946.108059434
India,IND,1996-01-01,1688.38640731776
Nigeria,NGA,1996-01-01,2133.47343312171
United States,USA,1996-01-01,29967.7127181749
China,CHN,1997-01-01,2266.72883825823
"Congo, Dem. Rep.",COD,1997-01-01,510.473103114986
United Kingdom,GBR,1997-01-01,23069.3890783783
India,IND,1997-01-01,1753.08592524757
Nigeria,NGA,1997-01-01,2178.34839299416
United States,USA,1997-01-01,31459.1389804773
China,CHN,1998-01-01,2448.48229050966
"Congo, Dem. Rep.",COD,1998-01-01,495.95809724773
United Kingdom,GBR,1998-01-01,23688.3819751261
India,IND,1998-01-01,1847.25669630548
Nigeria,NGA,1998-01-01,2203.58177365594
United States,USA,1998-01-01,32853.6769523009
China,CHN,1999-01-01,2650.17868573754
"Congo, Dem. Rep.",COD,1999-01-01,467.894227633687
United Kingdom,GBR,1999-01-01,24493.5013657365
India,IND,1999-01-01,2001.63410704678
Nigeria,NGA,1999-01-01,2191.25873873385
United States,USA,1999-01-01,34515.3902272076
China,CHN,2000-01-01,2917.24252978556
"Congo, Dem. Rep.",COD,2000-01-01,432.699339419267
United Kingdom,GBR,2000-01-01,26531.5844868141
India,IND,2000-01-01,2087.22477605814
Nigeria,NGA,2000-01-01,2292.8418315335
United States,USA,2000-01-01,36329.9560727102
China,CHN,2001-01-01,3208.22995654432
"Congo, Dem. Rep.",COD,2001-01-01,420.272176632106
United Kingdom,GBR,2001-01-01,27912.6365939756
India,IND,2001-01-01,2197.10940358716
Nigeria,NGA,2001-01-01,2418.26634406791
United States,USA,2001-01-01,37133.623113437
China,CHN,2002-01-01,3532.08165141829
"Congo, Dem. Rep.",COD,2002-01-01,426.174628480242
United Kingdom,GBR,2002-01-01,29089.0536770407
India,IND,2002-01-01,2275.44150646389
Nigeria,NGA,2002-01-01,2757.45233165057
United States,USA,2002-01-01,37997.7596573051
China,CHN,2003-01-01,3938.73027454873
"Congo, Dem. Rep.",COD,2003-01-01,445.5148537136
United Kingdom,GBR,2003-01-01,30317.3936051543
India,IND,2003-01-01,2459.95391561161
Nigeria,NGA,2003-01-01,2938.27148422629
United States,USA,2003-01-01,39490.2749557007
China,CHN,2004-01-01,4427.13100327793
"Congo, Dem. Rep.",COD,2004-01-01,473.958929921215
United Kingdom,GBR,2004-01-01,32054.7727127522
India,IND,2004-01-01,2680.89808067589
Nigeria,NGA,2004-01-01,3208.58586596191
United States,USA,2004-01-01,41724.6316287624
China,CHN,2005-01-01,5056.40472418203
"Congo, Dem. Rep.",COD,2005-01-01,502.897199875451
United Kingdom,GBR,2005-01-01,32726.1331883772
India,IND,2005-01-01,2936.56044322775
Nigeria,NGA,2005-01-01,3428.65241597721
United States,USA,2005-01-01,44123.4070679055
China,CHN,2006-01-01,5842.77863600308
"Congo, Dem. Rep.",COD,2006-01-01,528.871699781478
United Kingdom,GBR,2006-01-01,34732.8212955537
India,IND,2006-01-01,3221.69777778747
Nigeria,NGA,2006-01-01,3648.90380987909
United States,USA,2006-01-01,46302.0008800056
